Date,Open,High,Low,Close,Volume,OpenInt
1962-01-02,0.6277,0.6362,0.6201,0.6201,2575579,0
1962-01-03,0.6201,0.6201,0.6122,0.6201,1764749,0
1962-01-04,0.6201,0.6201,0.6037,0.6122,2194010,0
1962-01-05,0.6122,0.6122,0.5798,0.5957,3255244,0
1962-01-08,0.5957,0.5957,0.5716,0.5957,3696430,0
1962-01-09,0.5957,0.6037,0.5878,0.5957,2778285,0
1962-01-10,0.5957,0.6037,0.5957,0.5957,2337096,0
1962-01-11,0.5957,0.5957,0.5878,0.5957,1943605,0
1962-01-12,0.5957,0.6037,0.5878,0.5878,2015151,0
1962-01-15,0.5957,0.5957,0.5957,0.5957,2527879,0
1962-01-16,0.5957,0.6037,0.5957,0.6037,1657434,0
1962-01-17,0.6037,0.6037,0.5878,0.5878,2551729,0
1962-01-18,0.5878,0.5957,0.5878,0.5957,1764749,0
1962-01-19,0.5957,0.6037,0.5957,0.6037,1585893,0
1962-01-22,0.6037,0.6122,0.6037,0.6037,1693206,0
1962-01-23,0.6037,0.6037,0.5878,0.5878,2718664,0
1962-01-24,0.5878,0.6037,0.5878,0.6037,1907836,0
1962-01-25,0.6037,0.6037,0.5957,0.5957,1895910,0
1962-01-26,0.5957,0.5957,0.5957,0.5957,1204322,0
1962-01-29,0.5957,0.5957,0.5957,0.5957,1216242,0
1962-01-30,0.6037,0.6122,0.6037,0.6037,2122467,0
1962-01-31,0.6037,0.6277,0.6037,0.6277,2241705,0
